id,label,count
Sky (Winx Club),Sky (Winx Club),733
Tecna (Winx Club),Tecna (Winx Club),399
Anthony Padilla,Anthony Padilla,615
Courtney Miller,Courtney Miller,387
Inias (Supernatural),Inias (Supernatural),279
Sam Winchester,Sam Winchester,125092
Cream the Rabbit,Cream the Rabbit,834
Jet the Hawk,Jet the Hawk,148
Atobe Keigo,Atobe Keigo,1287
Yanagi Renji,Yanagi Renji,475
Pepper (Good Omens),Pepper (Good Omens),118
Wensleydale (Good Omens),Wensleydale (Good Omens),134
Hermes (EPIC: The Musical),Hermes (EPIC: The Musical),264
The Suitors (EPIC: The Musical),The Suitors (EPIC: The Musical),127
Mary Gillis Linton (Red Dead Redemption),Mary Gillis Linton (Red Dead Redemption),233
Molly O'Shea,Molly O'Shea,345
Furihata Kouki,Furihata Kouki,1261
Haizaki Shougo,Haizaki Shougo,729
Persephone (Ancient Greek Religion & Lore),Persephone (Ancient Greek Religion & Lore),276
Persephone (Hadestown),Persephone (Hadestown),170
Nyota Uhura,Nyota Uhura,5884
Pavel Chekov,Pavel Chekov,3695
Crowley (Good Omens),Crowley (Good Omens),13494
Newton Pulsifer,Newton Pulsifer,426
Lobelia Sackville-Baggins,Lobelia Sackville-Baggins,270
Thorin's Company,Thorin's Company,1747
LaFontaine (Carmilla Web Series),LaFontaine (Carmilla Web Series),1482
Wilson Kirsch,Wilson Kirsch,539
Spike (My Little Pony: Friendship is Magic),Spike (My Little Pony: Friendship is Magic),471
Sweetie Belle (My Little Pony: Friendship is Magic),Sweetie Belle (My Little Pony: Friendship is Magic),162
Carl Grimes,Carl Grimes,4943
Spencer Monroe,Spencer Monroe,130
Fíli,Fíli,3910
Óin,Óin,744
Original Characters,Original Characters,169059
Sakura Kyouko,Sakura Kyouko,830
Chairman Meow,Chairman Meow,138
Maryse Lightwood,Maryse Lightwood,1705
Fred Weasley,Fred Weasley,13600
Rowena Ravenclaw,Rowena Ravenclaw,769
Blackbeard | Edward Teach,Blackbeard | Edward Teach,22413
Mother Teach (Our Flag Means Death),Mother Teach (Our Flag Means Death),160
Barbara (Genshin Impact),Barbara (Genshin Impact),2019
Xiao | Alatus (Genshin Impact),Xiao | Alatus (Genshin Impact),11627
Black Raisin Cookie (Cookie Run),Black Raisin Cookie (Cookie Run),179
Dark Enchantress Cookie (Cookie Run),Dark Enchantress Cookie (Cookie Run),327
Arthur Shelby,Arthur Shelby,771
Grace Burgess,Grace Burgess,282
Male Inquisitor (Dragon Age),Male Inquisitor (Dragon Age),751
The Iron Bull (Dragon Age),The Iron Bull (Dragon Age),667
Bran Stark,Bran Stark,1317
Lyanna Mormont,Lyanna Mormont,127
Gabe (Gotham),Gabe (Gotham),115
Selina Kyle,Selina Kyle,2307
Kiyi (Avatar),Kiyi (Avatar),137
Toph Beifong,Toph Beifong,3609
Tom Riddle Sr.,Tom Riddle Sr.,144
Tom Riddle | Voldemort,Tom Riddle | Voldemort,16020
Mercedes Gardner,Mercedes Gardner,118
Willa Earp,Willa Earp,196
Barok van Zieks,Barok van Zieks,1374
Iris Watson | Iris Wilson,Iris Watson | Iris Wilson,501
Maito Gai | Might Guy,Maito Gai | Might Guy,3287
Yamanaka Inoichi,Yamanaka Inoichi,616
Cage (Lout of Count's Family),Cage (Lout of Count's Family),108
Deputy Butler Hans (Lout of Count's Family),Deputy Butler Hans (Lout of Count's Family),112
Dragoon | DRG Characters (Final Fantasy XIV),Dragoon | DRG Characters (Final Fantasy XIV),118
White Mage | WHM Characters (Final Fantasy XIV),White Mage | WHM Characters (Final Fantasy XIV),108
Ruby (Bistro Huddy),Ruby (Bistro Huddy),115
Terry (Bistro Huddy),Terry (Bistro Huddy),109
Claudia Stilinski,Claudia Stilinski,1783
Derek Hale,Derek Hale,65603
Mrs. Hudson,Mrs. Hudson,4869
Sarah Sawyer,Sarah Sawyer,684
Ares,Ares,356
Xena,Xena,760
Eraqus (Kingdom Hearts),Eraqus (Kingdom Hearts),311
Naminé (Kingdom Hearts),Naminé (Kingdom Hearts),879
Original Male Character(s),Original Male Character(s),107088
Íþróttaálfurinn | Sportacus,Íþróttaálfurinn | Sportacus,124
NCT Dream Ensemble,NCT Dream Ensemble,818
WayV Ensemble,WayV Ensemble,129
Lucy Preston,Lucy Preston,1721
Fester Addams,Fester Addams,231
The Addams Family (Addams Family),The Addams Family (Addams Family),137
Santa Claus,Santa Claus,639
MSBY Black Jackals Volleyball Team Members (Haikyuu!!),MSBY Black Jackals Volleyball Team Members (Haikyuu!!),363
Tsukishima Kei,Tsukishima Kei,15886
Kagari Shuusei,Kagari Shuusei,160
Masaoka Tomomi,Masaoka Tomomi,132
Juliet Watson,Juliet Watson,177
Rachel Amber,Rachel Amber,1396
Callie (Splatoon),Callie (Splatoon),1557
Commander Tartar (Splatoon),Commander Tartar (Splatoon),147
Cleanrot Knight Finlay (Elden Ring),Cleanrot Knight Finlay (Elden Ring),110
Millicent (Elden Ring),Millicent (Elden Ring),158
Kitagawa Yusuke,Kitagawa Yusuke,2624
Sakura Futaba,Sakura Futaba,1710
Aizen Sousuke,Aizen Sousuke,2129
Soifon,Soifon,122
Greg Universe,Greg Universe,1517
Jasper,Jasper,355
Mobius (Honkai Impact 3rd),Mobius (Honkai Impact 3rd),246
Otto Apocalypse,Otto Apocalypse,198
Bright Vachirawit Chivaaree,Bright Vachirawit Chivaaree,115
Tay Tawan Vihokratana,Tay Tawan Vihokratana,144
Matsumoto Jun,Matsumoto Jun,2242
Taguchi Junnosuke,Taguchi Junnosuke,120
Jey Uso,Jey Uso,421
Triple H (Professional Wrestling),Triple H (Professional Wrestling),118
Napstablook (Undertale),Napstablook (Undertale),999
W. D. Gaster,W. D. Gaster,3526
Oukawa Kohaku,Oukawa Kohaku,988
Sakuma Rei,Sakuma Rei,2687
Azriel's Shadows (A Court of Thorns and Roses),Azriel's Shadows (A Court of Thorns and Roses),484
Lucien Vanserra,Lucien Vanserra,2202
Clone Trooper Hunter (Star Wars),Clone Trooper Hunter (Star Wars),420
Clone Trooper Tech (Star Wars),Clone Trooper Tech (Star Wars),330
Jeff Tracy,Jeff Tracy,476
Parker,Parker,360
Rain (Ghost Sweden Band),Rain (Ghost Sweden Band),1086
Sister Imperator (Ghost Sweden Band),Sister Imperator (Ghost Sweden Band),515
Dog (Dragon Age),Dog (Dragon Age),247
Female Tabris,Female Tabris,268
Nefertari Cobra,Nefertari Cobra,104
Tony Tony Chopper,Tony Tony Chopper,5885
Screech (Roblox: DOORS),Screech (Roblox: DOORS),112
Chuck (Maze Runner),Chuck (Maze Runner),353
Jorge (Maze Runner),Jorge (Maze Runner),195
Gary Mitchell,Gary Mitchell,216
"Montgomery ""Scotty"" Scott","Montgomery ""Scotty"" Scott",3201
Ishigaki Koutarou,Ishigaki Koutarou,117
Tadokoro Jin,Tadokoro Jin,283
Aulea Lucis Caelum,Aulea Lucis Caelum,178
Titus Drautos | Glauca,Titus Drautos | Glauca,533
Duff McKagan,Duff McKagan,359
Amanda O'Neill,Amanda O'Neill,458
Barbara Parker,Barbara Parker,302
Erik | Phantom of the Opera,Erik | Phantom of the Opera,567
Amanda Darieux,Amanda Darieux,368
Joe Dawson,Joe Dawson,791
Boo Seungkwan,Boo Seungkwan,7384
Jeon Jungkook,Jeon Jungkook,71904
Gus McCready,Gus McCready,290
Wynonna Earp,Wynonna Earp,2662
Bianka Ataegina | Durandal,Bianka Ataegina | Durandal,218
Seele Vollerei (Honkai Impact 3rd),Seele Vollerei (Honkai Impact 3rd),208
Marcus Brooks (The Bear TV 2022),Marcus Brooks (The Bear TV 2022),167
"Natalie ""Sugar"" Berzatto","Natalie ""Sugar"" Berzatto",542
Fandral,Fandral,151
Natasha Romanov,Natasha Romanov,13526
Baiheng (Honkai: Star Rail),Baiheng (Honkai: Star Rail),509
Kafka (Honkai: Star Rail),Kafka (Honkai: Star Rail),2632
Kikumaru Eiji,Kikumaru Eiji,483
Momoshiro Takeshi,Momoshiro Takeshi,360
Durin IV (Tolkien),Durin IV (Tolkien),116
Ereinion Gil-galad,Ereinion Gil-galad,673
Donna Smoak,Donna Smoak,679
Iris West,Iris West,5263
Ivy Pepper,Ivy Pepper,102
Rocky Rickaby,Rocky Rickaby,310
Glanni Glæpur | Robbie Rotten,Glanni Glæpur | Robbie Rotten,112
Stingy (LazyTown),Stingy (LazyTown),341
Elbereth Gilthoniel | Varda Elentári,Elbereth Gilthoniel | Varda Elentári,123
Elrond Peredhel,Elrond Peredhel,2627
Donald Trump,Donald Trump,1098
Midoriya Izuku,Midoriya Izuku,78951
May Marigold,May Marigold,106
Weiss Schnee,Weiss Schnee,8862
Anne of Austria,Anne of Austria,393
Porthos (Trois Mousquetaires),Porthos (Trois Mousquetaires),1688
"""Abuela"" Alma Madrigal","""Abuela"" Alma Madrigal",2207
Julieta Madrigal,Julieta Madrigal,3110
Henry VIII of England,Henry VIII of England,268
K (&TEAM),K (&TEAM),342
Nakakita Yuma,Nakakita Yuma,258
Abby Yates,Abby Yates,1155
Ray Stantz,Ray Stantz,539
Brains (Thunderbirds),Brains (Thunderbirds),193
Background & Cameo Characters,Background & Cameo Characters,12327
Naruhodou Ryuunosuke,Naruhodou Ryuunosuke,1546
Sasori,Sasori,105
Uchiha Itachi,Uchiha Itachi,9584
Miss Pauling (Team Fortress 2),Miss Pauling (Team Fortress 2),967
Scout's Mother (Team Fortress 2),Scout's Mother (Team Fortress 2),294
Anais Watterson,Anais Watterson,172
Strade (BTD/TINR),Strade (BTD/TINR),249
Keiko O'Brien,Keiko O'Brien,342
Odo (Star Trek),Odo (Star Trek),1099
Krillin (Dragon Ball),Krillin (Dragon Ball),809
Tien,Tien,116
Spanish Jackie (Our Flag Means Death),Spanish Jackie (Our Flag Means Death),929
The Swede (Our Flag Means Death),The Swede (Our Flag Means Death),1444
Geoffrey of Monmouth (Merlin),Geoffrey of Monmouth (Merlin),182
Lancelot (Merlin),Lancelot (Merlin),4778
Original Female Character(s),Original Female Character(s),155969
